Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount
Williamstown,54 Victoria St,5,h,2550000,PI,Williams,19/08/2017,6.8,3016,5,2,2,840,244,1910,Hobsons Bay City Council,-37.8633,144.88871,Western Metropolitan,6380
Malvern,3/197 Wattletree Rd,5,h,2325000,S,Marshall,25/02/2017,7.4,3144,5,3,2,501,233,2006,Stonnington City Council,-37.8631,145.0353,Southern Metropolitan,4675
Fitzroy,431 George St,3,h,1250000,PI,Nelson,17/09/2016,1.6,3065,3,1,1,113,105,1890,Yarra City Council,-37.7966,144.9821,Northern Metropolitan,5825
Yallambie,36 Longacres Rd,4,h,953000,S,Fletchers,15/10/2016,15,3085,4,2,2,551,150,1997,Banyule City Council,-37.7302,145.0883,Northern Metropolitan,1369
Malvern East,1 Ferncroft Av,3,h,2200000,VB,Marshall,24/02/2018,8.4,3145,3,2,2,735,224,1920,Stonnington City Council,-37.86652,145.0569,Southern Metropolitan,8801
Murrumbeena,9/14 Wahroongaa Cr,3,t,956000,S,Woodards,15/07/2017,10.1,3163,3,2,1,137,137,1994,Glen Eira City Council,-37.887,145.07303,Southern Metropolitan,4442
Bentleigh East,30 Veronica St,2,h,825000,S,Buxton,3/9/16,13.9,3165,2,2,1,176,125,2008,Glen Eira City Council,-37.9237,145.0763,Southern Metropolitan,10969
Templestowe Lower,4 Caroline Dr,3,h,1220000,SP,Jellis,27/11/2016,13.8,3107,3,1,2,720,133,1960,Manningham City Council,-37.7668,145.1086,Eastern Metropolitan,5420
Thomastown,167 Victoria Dr,3,h,740000,S,Harcourts,3/6/17,15.3,3074,3,2,2,545,152,1983,Whittlesea City Council,-37.68403,144.99246,Northern Metropolitan,7955
Balwyn North,325 Belmore Rd,5,h,3250000,PI,Jellis,6/8/16,9.2,3104,3,4,2,886,520,2013,Boroondara City Council,-37.804,145.0951,Southern Metropolitan,7809
Mentone,9 Glengala Ct,3,h,960500,S,Buxton,3/9/17,20,3194,3,2,2,535,132,1985,Kingston City Council,-37.98329,145.0918,South-Eastern Metropolitan,6162
Wheelers Hill,994 Waverley Rd,5,h,1090000,S,Ray,15/07/2017,16.7,3150,5,2,2,698,246,1978,Monash City Council,-37.8921,145.19118,South-Eastern Metropolitan,7392
Alphington,5 Ross St,4,h,2220000,S,Kay,3/6/17,5.7,3078,4,2,3,580,184,1930,Darebin City Council,-37.77227,145.0284,Northern Metropolitan,2211
Seddon,58 Station Rd,3,h,1330000,S,Sweeney,7/11/16,6.6,3011,3,3,2,168,187,2012,Maribyrnong City Council,-37.8066,144.887,Western Metropolitan,2417
Altona,1/20 Mulga St,3,t,765000,S,Williams,17/06/2017,11,3018,3,2,2,200,139,2007,Hobsons Bay City Council,-37.86837,144.81502,Western Metropolitan,5301
Mount Waverley,40 Sunhill Rd,3,h,1400000,PI,Barry,17/03/2018,14.2,3149,3,1,2,724,139,1960,Monash City Council,-37.86824,145.128,Eastern Metropolitan,13366
Brighton East,76 Canberra Gr,3,h,2060000,S,Jellis,26/08/2017,10.3,3187,3,1,3,685,175,1950,Bayside City Council,-37.92364,145.01118,Southern Metropolitan,6938
Brunswick East,27 Barkly St,4,h,2300000,S,Woodards,24/02/2018,4,3057,4,2,1,416,241,1915,Moreland City Council,-37.77766,144.97604,Northern Metropolitan,5533
Balwyn,11/22 Brenbeal St,2,t,760000,S,Christopher,10/12/16,9.7,3103,2,1,1,121,100,1960,Boroondara City Council,-37.8112,145.0881,Southern Metropolitan,5682
Epping,5 Gillespie Pl,3,h,619000,S,Barry,9/12/17,19.6,3076,3,1,2,124,120,1970,Whittlesea City Council,-37.65986,145.03278,Northern Metropolitan,10926
Hillside,22 Penlow Ct,3,h,550000,SP,Prof.,17/03/2018,18,3037,3,2,1,474,159,1995,Brimbank City Council,-37.68944,144.74707,Western Metropolitan,5556
Taylors Lakes,18 Burnett Cl,4,h,780000,S,Pagan,14/10/2017,15.5,3038,4,2,2,997,297,2000,Brimbank City Council,-37.69221,144.78209,Western Metropolitan,5336
Mentone,23 Flinders St,4,h,1535000,VB,Buxton,17/03/2018,20,3194,4,2,2,604,192,1940,Kingston City Council,-37.97575,145.0575,South-Eastern Metropolitan,6162
Westmeadows,14 Devenish Ct,3,h,410000,VB,Barry,8/7/17,16.5,3049,3,1,2,542,107,1970,Hume City Council,-37.66948,144.90385,Northern Metropolitan,2474
Craigieburn,13 Eveline St,4,h,480000,SP,Ray,19/08/2017,20.6,3064,4,2,2,312,148,2015,Hume City Council,-37.56857,144.91694,Northern Metropolitan,15510
Hampton,66a Thomas St,3,h,1120000,S,hockingstuart,7/5/16,13.7,3188,4,2,3,373,113,1984,Bayside City Council,-37.9395,145.0088,Southern Metropolitan,5454
Keilor Park,7 Zagreb Ct,3,h,773000,S,Nelson,29/04/2017,14.5,3042,3,2,2,650,150,1980,Brimbank City Council,-37.724,144.8514,Western Metropolitan,1119
Werribee,3 Parramatta Rd,3,h,452000,SP,Biggin,22/07/2017,14.7,3030,3,1,3,567,121,1980,Wyndham City Council,-37.88666,144.66149,Western Metropolitan,16166
Preston,10 Pender St,4,h,875000,S,hockingstuart,27/06/2016,8.8,3072,4,1,2,400,147,1940,Darebin City Council,-37.7371,145.0111,Northern Metropolitan,14577
Port Melbourne,107 Stokes St,4,h,2450000,VB,Lucas,1/7/17,3.5,3207,4,3,2,210,210,2010,Melbourne City Council,-37.83933,144.93771,Southern Metropolitan,8648
Epping,635 Dalton Rd,3,h,570000,SP,Ristic,7/10/17,19.6,3076,3,1,2,583,106,1980,Whittlesea City Council,-37.64198,145.03041,Northern Metropolitan,10926
Richmond,45 Westbank Tce,2,h,1045000,S,Jellis,18/06/2016,2.6,3121,2,1,1,138,81,1890,Yarra City Council,-37.8218,145.0132,Northern Metropolitan,14949
